,type,country,activity,age,species_,mes,fatal,sex,especie_tiburon,year,age_ok
852,Unprovoked,australia,Windsurfing,41,"Tiger shark, 4.5 m [14'9""]",Jan,Y,M,Tiger shark,1997,41.0
853,Unprovoked,usa,Surfing,45,3 m to 5 m [10' to 16.5'] white shark,Nov,N,M,Unspecified,1996,45.0
854,Unprovoked,usa,Surfing,22,5.5 m to 6 m [18' to 20'] white shark,Oct,N,M,Unspecified,1996,22.0
855,Unprovoked,usa,Surfing,21,1.2 m [4'] shark,Oct,N,M,Unspecified,1996,21.0
856,Unprovoked,usa,Surfing,31,5 m [16.5'] white shark,Oct,N,M,Unspecified,1996,31.0
857,Unprovoked,new zealand,Diving for abalone,23,White shark,Sep,N,M,White shark,1996,23.0
858,Unprovoked,usa,Surfing / Swimming,19,"""a young shark""",Sep,N,M,Unspecified,1996,19.0
859,Invalid,usa,Boogie boarding,28,Shark involvement not confirmed,Sep,Unknown,F,Unspecified,1996,28.0
860,Provoked,south africa,Spearfishing,29,White shark,Sep,N,M,White shark,1996,29.0
861,Unprovoked,usa,Body Boarding,19,"Tiger shark, 2.4 m [8'] ",Aug,N,M,Tiger shark,1996,19.0
862,Unprovoked,usa,Free diving for abalone,36,6 m [20'] white shark,Aug,N,M,Unspecified,1996,36.0
863,Unprovoked,usa,Wade fishing,21,1.8 m to 2.1 m [6' to 7'] hammerhead shark,Aug,N,M,Unspecified,1996,21.0
864,Unprovoked,usa,Standing,63,5' to 6' shark,Jul,N,F,Unspecified,1996,63.0
865,Unprovoked,south africa,Surfing,17,2.5 m [8.25'] white shark ,May,N,M,Unspecified,1996,17.0
866,Unprovoked,usa,Surfing,22,1.2 m [4'] shark,May,N,M,Unspecified,1996,22.0
867,Unprovoked,usa,Surfing,27,60 cm to 90 cm [2' to 3'] blacktip or spinner shark,May,N,M,Unspecified,1996,27.0
868,Unprovoked,australia,Swimming breast stoke,47,Tiger shark,Mar,N,F,Tiger shark,1996,47.0
869,Unprovoked,australia,Dived naked into the water on a bet,24,Bronze whaler shark,Feb,N,M,Unspecified,1996,24.0
870,Unprovoked,australia,Swimming,7,"""reef shark""",Feb,N,M,Unspecified,1996,7.0
871,Unprovoked,usa,Swimming with mask & snorkel,53,Possibly a tiger shark,Jan,N,M,Unspecified,1996,53.0
872,Unprovoked,reunion,Surfing,25,"Tiger shark, 300-kg [662-lb] ",Jan,Y,M,Tiger shark,1996,25.0
873,Unprovoked,australia,Playing / standing,15,4 m shark,Oct,N,F,Unspecified,1995,15.0
874,Unprovoked,usa,Surfing,39,1.2 m to 1.5 m [4' to 5']   shark,Oct,N,M,Unspecified,1995,39.0
875,Unprovoked,usa,Surfing,14,1.5 to 1.8 m [5' to 6'] shark,Sep,N,M,Unspecified,1995,14.0
876,Unprovoked,usa,Windsurfing,25,4 m [13'] white shark,Sep,N,M,Unspecified,1995,25.0
877,Unprovoked,australia,Abalone diving using Hookah (near calving whales),29,White shark,Sep,Y,M,White shark,1995,29.0
878,Unprovoked,usa,Abalone diving using Hookah (resting on the surface),32,3 m to 4 m [10' to 13'] white shark,Sep,N,M,Unspecified,1995,32.0
879,Unprovoked,usa,Surfing,16,5' shark,Aug,N,M,Unspecified,1995,16.0
880,Unprovoked,usa,Surfing,18,"""a small shark""",Aug,N,M,Unspecified,1995,18.0
881,Unprovoked,usa,Swimming,16,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M,Unspecified,1995,16.0
882,Unprovoked,usa,Swimming ,23,"""sand"" shark",Aug,N,M,Unspecified,1995,23.0
883,Unprovoked,usa,Surfing,19,"""small shark""",Aug,N,M,Unspecified,1995,19.0
884,Unprovoked,tonga,Fishing,18,"""small shark""",Aug,N,M,Unspecified,1995,18.0
885,Unprovoked,usa,Wading,20,1.8 m [6'] shark,Aug,N,M,Unspecified,1995,20.0
886,Unprovoked,usa,Body boarding,12,1.2 m to 1.5 m [4' to 5'] shark,Aug,N,M,Unspecified,1995,12.0
887,Unprovoked,usa,Scuba diving (ascending using scooter),31,6 m [20'] white shark,Jun,N,M,Unspecified,1995,31.0
888,Unprovoked,usa,Swimming,45,1.8 m [6'] shark,Jun,N,M,Unspecified,1995,45.0
889,Unprovoked,usa,Swimming,10,6' shark,Jun,N,F,Unspecified,1995,10.0
890,Unprovoked,usa,Swimming,38,"Tiger shark, 3.7 m [12'] ",Jun,N,M,Tiger shark,1995,38.0
891,Unprovoked,hong kong,Swimming,29,1.8 m to 2.1 m [6' to 7'] shark,Jun,Y,M,Unspecified,1995,29.0
892,Unprovoked,japan,Scuba diving for bivalves,47,6 m [20'] white shark,Apr,Y,M,Unspecified,1995,47.0
893,Unprovoked,australia,Surfing,35,"Bronze whaler shark, 2 m ",Mar,N,M,Unspecified,1995,35.0
894,Unprovoked,south africa,Swimming,22,Raggedtooth shark,Feb,N,M,Unspecified,1995,22.0
895,Unprovoked,south africa,Swimming,14,"Tiger shark, 1.8 m [6'] ",Jan,Y,M,Tiger shark,1995,14.0
896,Unprovoked,south africa,Body boarding,26,5.5 m [18'] white shark,Dec,N,M,Unspecified,1994,26.0
897,Unprovoked,usa,Commercial diver (submerged or treading water),42,5 m to 5.5 m [16.5' to 18'] white shark,Dec,Y,M,Unspecified,1994,42.0
898,Unprovoked,usa,"Surfing, paddling seawards",34,2.7 m [9'] shark,Nov,N,F,Unspecified,1994,34.0
899,Provoked,usa,Wading,9,Thought to involve a small sand shark,Oct,N,F,Unspecified,1994,9.0
900,Unprovoked,usa,Surfing,43,5 m [16.5'] white shark,Sep,N,M,Unspecified,1994,43.0
